"impactS","impact2S","ReversibleS","EasyLoseS","mcheckS","ReversibleB","ImpactB","ImpactfulB","EasyLose","mcchekB","sex","attcheck","country","race","educat","age_1","eduyrs_1","job","feedback","software_DO_EarlyNegativeS","Basketball_DO_EarlyNegativeB","software_DO_FinalPositiveS","Basketball_DO_FinalPositiveB","software_DO_EarlyPositiveS","Basketball_DO_EarlyPositiveB","software_DO_FinalNegativeS","Basketball_DO_FinalNegativeB","filter_$","Timing","Outcome change","IMPACT_B","IMPACT_S","REVERSIBILITY_B","REVERSIBILITY_S"
2,2,6,6,,6,2,2,6,,2,2,1,1,2,22.0,16.0,1,,1.0,1.0,0.0,,0.0,,0.0,,1,"early","no change",2.0,2.0,6.0,6.0
5,6,4,4,,3,4,4,4,,2,2,1,1,4,23.0,12.0,1,,1.0,1.0,0.0,,0.0,,0.0,,1,"early","no change",4.0,5.5,3.5,4.0
7,7,2,2,,3,4,6,6,,1,2,1,4,3,29.0,14.0,1,,0.0,,0.0,,0.0,,1.0,1.0,1,"late","no change",5.0,7.0,4.5,2.0
5,5,5,4,,5,5,5,4,,2,2,1,1,2,31.0,15.0,1,"none",0.0,,0.0,,0.0,,1.0,1.0,1,"late","no change",5.0,5.0,4.5,4.5
4,4,4,3,,5,5,5,5,,2,2,1,1,4,27.0,12.0,2,"any",1.0,1.0,0.0,,0.0,,0.0,,1,"early","no change",5.0,4.0,5.0,3.5
5,5,4,4,,5,3,2,5,,2,2,1,1,1,40.0,20.0,1,,1.0,1.0,0.0,,0.0,,0.0,,1,"early","no change",2.5,5.0,5.0,4.0
5,4,4,4,,4,4,5,3,,1,2,1,1,3,31.0,15.0,1,,1.0,1.0,0.0,,0.0,,0.0,,1,"early","no change",4.5,4.5,3.5,4.0
5,5,3,4,,5,3,4,2,,2,2,1,1,1,33.0,18.0,2,,0.0,,0.0,,0.0,,1.0,1.0,1,"late","no change",3.5,5.0,3.5,3.5
5,5,5,4,,6,5,3,6,,2,2,1,1,2,43.0,16.0,2,,0.0,,0.0,,0.0,,1.0,1.0,1,"late","no change",4.0,5.0,6.0,4.5
6,5,4,3,,7,5,4,7,,2,2,1,1,2,32.0,16.0,1,,0.0,,0.0,,0.0,,1.0,1.0,1,"late","no change",4.5,5.5,7.0,3.5
1,1,5,5,,4,1,2,5,,1,2,1,1,2,30.0,17.0,1,,1.0,1.0,0.0,,0.0,,0.0,,1,"early","no change",1.5,1.0,4.5,5.0
6,6,5,5,,4,7,7,4,,2,2,1,1,3,34.0,14.0,1,,1.0,1.0,0.0,,0.0,,0.0,,1,"early","no change",7.0,6.0,4.0,5.0
6,7,3,4,,6,4,7,5,,2,2,1,1,2,27.0,17.0,1,"No comments.",0.0,,0.0,,0.0,,1.0,1.0,1,"late","no change",5.5,6.5,5.5,3.5
