condition	stimulus	Min	Max	Crossover	Slope	exitflag	R	LS	AR	N	status
VisNew	corn	1.69828109353176e-08	0.810151210183104	590.703345359701	0.00178354506139925	2010	0.999037031547919	0.000234450054960943	0.940218663477177	326	1
VisNew	crowd	1.27451135201184e-08	0.830188660259513	614.343512147907	0.00126754604354717	2010	0.990650187591291	0.00189454101223541	0.990025386335627	326	1
VisNew	crown	8.62013279978591e-07	0.870369048639807	662.188672200933	0.00174734398859848	2010	0.998966274603918	0.000253764425437416	0.940420753954054	326	1
VisNew	goal	6.14061515746833e-07	0.88888828154198	644.929148151859	0.00165781164379786	2010	0.997382611734589	0.000623013825015377	0.974577063197845	326	1
VisNew	goat	1.9808165409918e-05	0.86594705687761	524.623258633797	0.00308607593834527	2010	0.99817769258963	0.000535046209686286	0.97552009395466	326	1
VisNew	hole	5.43802682329009e-08	0.809523792151151	893.530772523855	0.00108867038880942	2010	0.993584374595009	0.000881687699709034	0.978405185989748	326	1
VisNew	horn	5.40310630681162e-08	0.811448383746836	569.025424916887	0.00178603896129021	2010	0.998425641634534	0.00039330783370551	0.951927549018121	326	1
VisNew	horse	4.76027296469894e-08	0.824409472044259	570.656001118679	0.0022538345086667	2010	0.999015200626958	0.000240938890157942	0.935728925273917	326	1
VisNew	hose	6.1153278996251e-08	0.838704190659268	639.244356684231	0.00152423486700815	2010	0.995389979789313	0.00112054315592723	0.985917594579542	326	1
VisNew	judge	1.64486035347799e-08	0.86446131463322	589.627254954225	0.00201216864407401	2010	0.999363620781858	0.000190831382326769	0.922528466053108	326	1
VisNew	jug	9.09005248850292e-09	0.856541487331014	722.300578558439	0.00171971970417735	2010	0.998577605521846	0.000336771699712827	0.952468423676779	326	1
VisNew	moon	0.00578414515091785	0.842573683785867	689.809807242252	0.00180677452315352	2010	0.997846193105593	0.000555799312417678	0.970527996593952	326	1
VisNew	moose	1.8706631286225e-06	0.858574612362855	630.255147123957	0.0018915855233564	2010	0.998185542055751	0.000451086965267472	0.970405785849655	326	1
