"subject","value","name"
"subject12",109.341275958,"cond_rad_wheelBlind_3.0.csv"
"subject13",133.019670577,"cond_rad_wheelBlind_3.0.csv"
"subject14",87.816113044,"cond_rad_wheelBlind_3.0.csv"
"subject15",123.097823305,"cond_rad_wheelBlind_3.0.csv"
"subject16",87.1625044614,"cond_rad_wheelBlind_3.0.csv"
"subject18",128.036584822,"cond_rad_wheelBlind_3.0.csv"
"subject19",82.4485501609,"cond_rad_wheelBlind_3.0.csv"
"subject2",94.0636108627,"cond_rad_wheelBlind_3.0.csv"
"subject20",68.06495589,"cond_rad_wheelBlind_3.0.csv"
"subject21",98.7089815786,"cond_rad_wheelBlind_3.0.csv"
"subject22",144.695189762,"cond_rad_wheelBlind_3.0.csv"
